DecisionTable_search,BestFirst_searchTermination,probability
GreedyStepwise,1,0.0
GreedyStepwise,2,0.0
GreedyStepwise,3,0.0
GreedyStepwise,4,0.0
GreedyStepwise,5,0.0
GreedyStepwise,6,0.0
GreedyStepwise,7,0.0
GreedyStepwise,8,0.0
GreedyStepwise,9,0.0
GreedyStepwise,10,0.0
BestFirst,1,0.088
BestFirst,2,0.088
BestFirst,3,0.088
BestFirst,4,0.088
BestFirst,5,0.208
BestFirst,6,0.088
BestFirst,7,0.088
BestFirst,8,0.088
BestFirst,9,0.088
BestFirst,10,0.088
