J48_pruning,J48_confidenceFactorSubtreeRaising,probability
unpruned,True,0.0
unpruned,False,0.0
reducedErrorPruning,True,0.0
reducedErrorPruning,False,0.0
confidenceFactor,True,0.6
confidenceFactor,False,0.4
